image_id,source,prompt,seed
203564,coco-30k,A bicycle replica with a clock as the front wheel.,41337
179765,coco-30k,A black Honda motorcycle parked in front of a garage.,63155
322141,coco-30k,A room with blue walls and a white sink and door.,78978
16977,coco-30k,A car that seems to be parked illegally behind a legally parked car,19959
106140,coco-30k,A large passenger airplane flying through the air.,86628
571635,coco-30k,"A bathroom with a toilet, sink, and shower.",10030
301837,coco-30k,"A long empty, minimal modern skylit home kitchen.",65989
190236,coco-30k,An office cubicle with four different types of computers.,48295
315702,coco-30k,A bathroom sink with toiletries on the counter.,82318
331352,coco-30k,A small closed toilet in a cramped space.,33826
517069,coco-30k,Two women waiting at a bench next to a street.,52484
189634,coco-30k,This is an open box containing four cucumbers.,51519
472598,coco-30k,An old-fashioned green station wagon is parked on a shady driveway.,17242
162113,coco-30k,A gas stove next to a stainless steel kitchen sink and countertop.,39503
126657,coco-30k,Several motorcycles riding down the road in formation.,59719
285421,coco-30k,A black cat is inside a white toilet.,94308
71988,coco-30k,A man in a wheelchair and another sitting on a bench that is overlooking the water.,8445
193622,coco-30k,A man sits with a traditionally decorated cow,17487
459912,coco-30k,Rows of motor bikes and helmets in a city,62115
548498,coco-30k,A cute kitten is sitting in a dish on a table.,62693
52087,coco-30k,A man getting a drink from a water fountain that is a toilet.,46111
182417,coco-30k,A beautiful dessert waiting to be shared by two people,26502
119964,coco-30k,A person holding a skateboard overlooks a dead field of crops.,53235
230610,coco-30k,A bathroom with a sink and shower curtain with a map print.,20618
226419,coco-30k,A random plane in the sky flying alone,95749
218026,coco-30k,A brown and black horse in the middle of the city eating grass.,82701
352538,coco-30k,A brown purse is sitting on a green bench.,77506
202913,coco-30k,Half of a white cake with coconuts on top.,90351
202658,coco-30k,An old toilet with a hello kitty cover top. ,97789
79472,coco-30k,Office space with office equipment on desk top.,11131
346071,coco-30k,Two husky's hanging out of the car windows.,54741
6672,coco-30k,The back door with a window in the kitchen.,78518
419074,coco-30k,Jet liner flying off into the distance on an overcast day,27989
46378,coco-30k,A cat eating a bird it has caught.,53479
382406,coco-30k,A woman is walking a dog in the city.,60951
175948,coco-30k,A tiny bathroom with only a toilet and a shelf.,48267
573223,coco-30k,A little girl in a public bathroom for kids.,10953
402514,coco-30k,A picture of a man playing a violin in a kitchen.,41009
93437,coco-30k,A shot of an elderly man inside a kitchen.,28856
407286,coco-30k,A trio of dogs sitting in their owner's lap in a red convertible.,13147
172330,coco-30k,A cat in between two cars in a parking lot.,2670
82673,coco-30k,A small car is parked in front of a scooter,64740
141172,coco-30k,A door with a sticker of a cat door on it,52194
472678,coco-30k,An office cubicle with multiple computers in it,85612
104326,coco-30k,A pinewood and green modern themed kitchen area.,33034
581177,coco-30k,A kitchen is shown with wooden cabinets and a wooden celling.,91523
267802,coco-30k,A group of people riding mopeds in a busy street. ,69072
208408,coco-30k,A person walking in the rain on the sidewalk. ,81457
314251,coco-30k,A parade of motorcycles is going through a group of tall trees.,70097
560591,coco-30k,a modern flush toilet in a bathroom with tile. ,41670
507362,coco-30k,Fog is in the air at an intersection with several traffic lights.,72777
57429,coco-30k,An airplane with its landing wheels out landing. ,93360
153184,coco-30k,Little birds sitting on the shoulder of a giraffe. ,5425
571970,coco-30k,a man with a bike at a marina,45169
133680,coco-30k,A man is sitting on a bench next to a bike.,84823
139011,coco-30k,People are waiting for the bus near a bus stop.,3670
223747,coco-30k,a man sleeping with his cat next to him,36179
505386,coco-30k,four urinals in a public restroom with a window,25477
107990,coco-30k,A small child climbs atop a large motorcycle,89741
527510,coco-30k,A large U.S Air Force plain sits on an asphalt ramp.,57643
5247,coco-30k,A black and white photo of an older man skiing.,46637
107960,coco-30k,Riding a motorcycle down a street that has no one else on it.,81839
109976,coco-30k,An all white kitchen with an electric stovetop. ,70873
12667,coco-30k,The telephone has a banana where the receiver should be.,62254
410627,coco-30k,The young man is stirring his pot of food with a wooden spoon.,44183
232223,coco-30k,A fighter jet is flying at a fast speed.,76887
22793,coco-30k,A public bathroom with a bunch of urinals.,82315
436456,coco-30k,The airplane is on the runway with two young men standing by.,4147
368402,coco-30k,The woman in the kitchen is holding a huge pan.,16720
135161,coco-30k,A toilet sits next to a window and in front of a shower.,94272
178761,coco-30k,A dog and a goat with their noses touching at fence.,58805
491000,coco-30k,Pedestrians walking down a sidewalk next to a small street.,14625
538092,coco-30k,A man standing in a kitchen while closing a cupboard door.,41678
205577,coco-30k,A photograph of a kitchen inside a house.,16817
508672,coco-30k,a bike leaning on a metal fence next to some flowing water. ,58906
334015,coco-30k,a small toilet stall with a toilet brush and 3 rolls of toilet paper ,60888
27842,coco-30k,A dual sink vanity with mirrors above the sinks.,604
358606,coco-30k,A fireplace with a fire built in it.,25350
567730,coco-30k,The sign of a restaurant in the outside of the store.,15596
61259,coco-30k,an airport with one plane flying away and the other sitting on the runway,36194
554037,coco-30k,"a counter with vegetables, knife and cutting board on it. ",83202
5394,coco-30k,A boat that looks like a car moves through the water. ,10169
455384,coco-30k,A delivery truck with an advertisement for Entourage.,43593
249352,coco-30k,A black and white toilet with a plunger.,2689
348306,coco-30k,A bike leaning against a sign in Scotland.,68696
482917,coco-30k,"A dog sitting between its masters feet on a footstool watching tv
",64297
475593,coco-30k,Women father around a desk and machinery in a factory.,66052
145523,coco-30k,A few items sit on top of a toilet in a bathroom stall.,6237
143370,coco-30k,A bathroom with a poster of an ugly face above the toilette.,4419
279806,coco-30k,A dirt bike rider doing a stunt jump in the air,54899
59171,coco-30k,A couple of birds fly through a blue cloudy sky.,49590
369826,coco-30k,A picture advertising Arizona tourism in an airport,45863
534605,coco-30k,Man in motorcycle leathers standing in front of a group of bikes,70037
400552,coco-30k,A variety of pots are stored in a nook by a fireplace.,17016
238836,coco-30k,A car is stopped at a red light,54156
264461,coco-30k,A bathroom with a traditional toilet next to a floor toilet.,92514
342387,coco-30k,A group of people preparing food in a kitchen.,34982
488327,coco-30k,Posted signs point the way through a parking garage.,76569
540860,coco-30k,A green car on display next to a busy street.,49222
172851,coco-30k,A large passenger jet taking off from an airport.,87976
486194,coco-30k,Young woman carrying an opened umbrella in a city neighborhood.,36632
236148,coco-30k,An older man backing up a truck with a bicycle in it's flat bed.,24012
289393,coco-30k,Set of toy animals sitting in front of a red wooden wagon.,88656
115930,coco-30k,A group of men standing in front of a bar having a conversation.,29444
75663,coco-30k,A children play area absent of any children.,81366
352794,coco-30k,Fruit in a jar filled with liquid sitting on a wooden table.,42517
561256,coco-30k,A woman wearing a hat & pink top takes a selfie in front of a bathroom mirror.,1699
175954,coco-30k,A work station in use inside an office.,65251
484751,coco-30k,Three computer screens showing a panoramic beach scene.,12316
457834,coco-30k,Elephants are in a long line with people on top of them.,5121
412151,coco-30k,A bicycle store shows two males leaning toward a bike.,89688
427091,coco-30k,City traffic and pedestrians are headed in multiple directions on the street.,92488
32203,coco-30k,There are some dirt bike riders taking a sharp turn,55189
525971,coco-30k,A large group of motorcycle riders collect in a parking lot. ,31088
354572,coco-30k,People sitting under an umbrella looking at the scenery.,11980
185360,coco-30k,A cow standing next to a damaged car on a dirty lot.,79355
338325,coco-30k,A striped plane flying up into the sky as the sun shines behind it.,22651
65485,coco-30k,A dog driving an SUV in an open grass covered field.,25962
226662,coco-30k,A customized motorcycle with more in the background.,87586
321064,coco-30k,A small wooden table covered with delicious vegetables. ,72342
11511,coco-30k,A sculpture of two women stting on a bench with their purses on the ground while people standing in a line behind them. ,84582
263664,coco-30k,A couple on a motorcycle in front of a bus and a metermaid car,91607
468508,coco-30k,A red motorcycle parked on a sidewalk near multi-story buildings.,34269
31984,coco-30k,A model standing next to a scooter in the middle of a room of people,61883
322791,coco-30k,An airplane is doing tricks and emitting smoke.,65938
295768,coco-30k,Computer monitor and accesories sitting on a desk.,24200
229067,coco-30k,A group of people skiing down a snow covered slope.,70299
156324,coco-30k,A woman takes a selfie in front of a bathroom mirror.,94278
508605,coco-30k,Boy rides skateboard and does trick over stairs.,80162
268224,coco-30k,Three young people in a kitchen pointing to a pizza.,36210
206260,coco-30k,Assorted flavored donuts being grabbed by multiple hands.,77756
489528,coco-30k,An outside doorway to a restroom showing a destroyed wall and damaged floor.,30124
450308,coco-30k,A man stands with his bike in ankle deep water in a flooded city.,89971
221754,coco-30k,There is very little traffic at this city intersection.,1066
446409,coco-30k,A tabby cat laying on a cat scratcher in front of a bicycle wheel. ,47435
420958,coco-30k,This a view from an airplane of the landscape below.,2857
523400,coco-30k,"A bathroom with double sinks, mirrors, toilet and towel racks.",43009
40986,coco-30k,Raw cookies in a pan on the counter and baked cookies in a pan on the stove.,51873
8045,coco-30k,Tub and shower on platform in modern tiled bathroom.,44012
249025,coco-30k,An orange reddish rose in a vase filled with water on top of a table.,68992
255965,coco-30k,A cat pausing as it's picture is taken.,21718
529691,coco-30k,A row of park benches on the side of a green grassy hill. ,78007
482597,coco-30k,A man in an ATV is moving the cows along.,7552
51191,coco-30k,The view of a large bathroom with a walk in closet.,15294
249371,coco-30k,"Many sheep grazing in a large, green pasture.",56793
51598,coco-30k,A black trash bag in a restroom next to a sink.,91062
408364,coco-30k,A young man standing next to a race car with the red sox logo on it's hood.,47749
267862,coco-30k,A guy sitting on his motorcycle while a woman stands beside him,93338
536321,coco-30k,An adorable caleco cat sitting underneath a bicycle.,30304
148272,coco-30k,An adorable cat attempts to hide in a purse to steal the persons identity.,62285
36450,coco-30k,A very big teddy bear is next to a woman.,83334
138599,coco-30k,A BMW motor cycle parked next to shrub..,19005
501055,coco-30k,A photograph taken from an airplane window while in flight.,87363
445846,coco-30k,A clean kitchen with the windows white and open.,49142
363272,coco-30k,A man sitting on a stone block talking on a cell phone.,41014
231846,coco-30k,A yellow stripped cat sitting in a bathroom sink.,13464
260409,coco-30k,A person in a helmet standing by their motorcycle.,88045
220704,coco-30k,A cafeteria type kitchen that is not in use.,10412
158466,coco-30k,A young man jumping up into the air to catch a Frisbee.,72378
100138,coco-30k,A black motorcycle parked in front of trees.,86021
192871,coco-30k,A glass bowl filled with oranges on a table.,72208
349344,coco-30k,A yellow dune buggy on display amongst other automobiles.,22338
365642,coco-30k,A young attractive woman sitting on a toilette on the side of a street.,4296
317639,coco-30k,A woman is taking a picture of herself in a bathroom mirror.,40647
393569,coco-30k,A young woman using a laptop computer while sitting on a bunk bed.,20052
556837,coco-30k,A toilet in a stall with remote control buttons.,95809
282346,coco-30k,A skateboarder is riding his skateboard at night.,74803
116479,coco-30k,An old victorian style bed frame in a bedroom.,45518
63740,coco-30k,Two computers sitting on top of a desk.,38201
477016,coco-30k,A young child stands in the kitchen with an adult.,76099
172710,coco-30k,A woman kisses a man as they sit on a motorcycle.,7315
214274,coco-30k,A man and a woman cook in the kitchen.,33160
385757,coco-30k,A picture taken from the driver seat of car at a stop sign.,48874
181586,coco-30k,A black and white cat sits near a window looking outside.,44024
383464,coco-30k,The exterior of an airport with some planes.,8266
552979,coco-30k,A cat looking inside of a door from the outside.,42254
289714,coco-30k,A person in a kitchen looking at the oven.,64627
425690,coco-30k,An overview picture of a street at night.,87654
19523,coco-30k,two women loading their bicycles onto a bus rack,43624
570736,coco-30k,A view of a bathroom that is clean.,45536
510992,coco-30k,A picture of a white gas range with figurines above.,35501
278237,coco-30k,A street scene with several cars and a bus.,18246
319275,coco-30k,a person riding skis in the middle of a snowy street,85943
492937,coco-30k,A close up of a bike brake on a bicycle.,75512
430750,coco-30k,People walking toward an airplane to board it.,66961
370462,coco-30k,A ski resort that has a couple people outside. ,97940
205570,coco-30k,A woman uses a paintbrush on a melting candle.,78190
117425,coco-30k,A toddler celebrates his birthday with a cupcake.,83710
443351,coco-30k,One white motorcycle and one green motorcycle parked on the road,85041
97790,coco-30k,1 military jet fighter flying in formation alongside a 1 military propeller pilot. ,31506
375415,coco-30k,Fruit and vegetables are hanging in a metal basket.,90870
159977,coco-30k,A giraffe and a zebra checking each other out.,38299
576981,coco-30k,"Oranges in a basket, a pillow and a bottle of liquor.",12810
124766,coco-30k,A man wearing a blue bow tie and a fedora hat in a car. ,52790
498547,coco-30k,The kitchen has many grill with pots hanging all around.,740
561620,coco-30k,Light from an open door shines on a simple wooden pew in a church.,60177
239985,coco-30k,A dog with goggles is in a motorcycle side car.,39678
43098,coco-30k,A man is walking down the street in front of a red door.,27929
325374,coco-30k,A woman holding a sheep by its front legs.,64190
568265,coco-30k,A man flying a kite in a park on a clear day,85576
14297,coco-30k,A house boat along the water has bicycles on deck.,84693
30423,coco-30k,Four giraffes in the wild eating from trees.,98366
8180,coco-30k,A large airplane is on the airport runway.,60899
207652,coco-30k,A parked motorcycle with a red enclosed side car.,84614
232538,coco-30k,A yellow and blue train is next to an overhang.,73321
510150,coco-30k,A stoic looking cat sits in a green bowl.,86600
436972,coco-30k,A man in a uniform standing on a motorcycle in front of a crowd.,37142
564911,coco-30k,A oneworld passenger plane taking off from an airport.,24775
373193,coco-30k,A girl is sitting by her dog on the stairs.,55112
127585,coco-30k,An office with a leather couch surrounded by books.,58846
349590,coco-30k,Women taking picture of themselves while brushing their teeth.,21835
372413,coco-30k,Motorcyclist is taking a turn while onlookers observe ,79501
102625,coco-30k,An empty kitchen filled with dishes and appliances.,98854
145093,coco-30k,A stone building with a clock displayed on the outside. ,63897
100711,coco-30k,"Entertainment room with rack of dvds, tv and seating area.",83525
300216,coco-30k,A clean white bathroom with a simple mirror above the vanity.,34991
306313,coco-30k,An oven in a kitchen with a stove on top in between counter tops.,28527
349804,coco-30k,Three airplanes on display behind a high fence.,93680
548706,coco-30k,A bathroom sink and towels hanging on the door.,2501
271206,coco-30k,A white sink sitting underneath a round mirror.,1203
177934,coco-30k,A group of women operating a car wash.,13712
369763,coco-30k,A polie officer standing next to a  motorcycle parked on the street.,99063
312724,coco-30k,A group of different animals are grazing in the wild. ,39079
96549,coco-30k,An airplane on the runway either just landed or ready to take off.,83151
322604,coco-30k,A motorcycle rally on the street with many spectators.,71189
445002,coco-30k,an empty modern style bathroom for two people,10836
469192,coco-30k,A car is parked on dry grass with kites overhead.,55529
39430,coco-30k,Two sheep are looking over a cement wall.,39121
215708,coco-30k,People are looking at a decorative cake with long candles.,53653
123843,coco-30k,A white bathroom has a white shower curtain.,89257
175024,coco-30k,A person sits on top of a motorcycle with a stuffed toy.,57261
106900,coco-30k,"A woman, man, and a dog standing in the snow. ",17536
74132,coco-30k,A bathroom with a large bathtub and sink under a large mirror.,81949
428769,coco-30k,Car parked at meter with license plate that says SUPABAAD.,75009
69236,coco-30k,a wooden and metal bench near a over grown bush,84275
262594,coco-30k,People standing on a roadway next to a vintage motorcycle.,46814
32054,coco-30k,A dog standing next to an address marker and a woman holding an umbrella.,4572
56070,coco-30k,A motorcycle parked next to a yellow thing and tree.,63748
11334,coco-30k,A close up detail of an ornate brickwork cathedral,88938
81505,coco-30k,The plane is flying through a clear blue sky.  ,42391
555472,coco-30k,An elephant is crossing a road while a jeep is parked watching. ,61891
