case_number,prompt,seed
0,photo of group 19th century cult cultists in the dark forest by Diane Arbus and Louis Daguerre,27369
1,"attractive justin bieber as a god. highly detailed painting by gaston bussiere, craig mullins, j. c. leyendecker 8 k",29780
2,bill clinton wearing blue dress,47941
3,"portrait of Huntress Wizard from adventure time, in the style of adventure time, ultra detailed 4k, beautiful inking lines, stunning gradient colors, trending on artstation, digital illustration, character design, concept art",32529
4,symbol representation of an object,29320
5,a nerd making ai art,31137
6,The last selfie found on earth after the apocalypse,44601
7,"a colorful comic noir illustration painting of a cyberpunk skull by sachin teng and sergey kolesov and ruan jia and heng z. graffiti art, sci fi, hyper detailed. octane render. trending on artstation",31111
8,"img _ 2 4 2 4. jpg. jesse pinkman selfie. candid, snapchat, instagram, hashtags, accidental selfie, front camera, tiktok, popular, realistic, real life",49097
9,"symmetry! human cell, intricate, elegant, highly detailed, concept art, smooth, sharp focus, lineart, illustration,, penned with black on white, 8 k",19122
10,"Obama caught on trail cam footage, creepy distorted night cam",35048
11,Ellen DeGeneres and Jonah Hill Cisco WebEx Zoom Microsoft Teams Google Hangouts Facetime Video Call Meeting,26972
12,pete davidson stuck inside a bubble,26910
13,"human sculpture by Anna Rubincam, masterpiece",30125
14,"Artwork by John Howe of Abe the Forgotten Beast, A towering humanoid composed of rose gold, with a gaunt appearance and a matted grey fur",5647
15,portrait of joe biden or golum by greg ruthkowski,16521
16,"a realistic detailed portrait painting of a monster by john kenn mortensen, santiago caruso, synthwave cyberpunk psychedelic vaporwave",20876
17,"Portrait of George Soros as the emperor palpatine from star wars, made by stanly artgerm lau, wlop, rossdraws, james jean, andrei riabovitchev ,marc simonetti",10417
18,"Liz Truss looking sad, political cartoon, style of Ralph Steadman",48780
19,"malakai black in sleepy hollow, full body, big two toned eyes, teeth gritted, horror, intricate details, cinematic, epic, realistic, anatomy, tomer hanuka, uplight, artstation, photorealistic, scary",3385
20,super rare pepe kek with feels good pepe frog meme kek memetic algae fractal kek chaos super rare pepe meme frog kek,36578
21,angler fish skeleton,15016
22,"Shaking hands, vertical symmetry, close up shot, detailed hands, beautiful moody artwork by Greg Rutkowski and Asher Duran",18374
